브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
,[풀무원샘물] by Nature 2L X 18병,,,로켓배송,,,,https://www.coupang.com/vp/products/7856560668?itemId=13262387094&vendorItemId=81499849311
,"아이시스 무라벨 ECO 생수, 2L, 36개",,"25,930원",로켓배송,4,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2024-08-05 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 쿠팡상품번호: 7841914137 - 21350776184",https://www.coupang.com/vp/products/7841914137?itemId=21350776184&vendorItemId=88408440146
,"강원 평창수 무라벨, 2L, 30개",,"19,800원",로켓배송,5,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2025-02-18 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 음료수 종류: 생수, 쿠팡상품번호: 5269360716 - 13064287016",https://www.coupang.com/vp/products/5269360716?itemId=13064287016&vendorItemId=86495568256
동원,"동원샘물 생수 2L * 24병, 2L, 24개",,"14,550원",㈜동원디어푸드 ( 동원몰 ),2,개당 용량 × 총 수량: 2L × 24개,"음료수 종류: 상세 설명 참조, 비건 여부: 상세 설명 참조, 가정용/업소용: 상세 설명 참조, 유기농/친환경 등: 상세 설명 참조, 열량: 상세 설명 참조, 쿠팡상품번호: 7994141013 - 22230752566",https://www.coupang.com/vp/products/7994141013?itemId=22230752566&vendorItemId=85293566037
탐사,"탐사수, 2L, 30개",,"15,290원",로켓배송,없음,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2024-08-08 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 라벨 유무: 유라벨, 쿠팡상품번호: 27613130 - 16104582870",https://www.coupang.com/vp/products/27613130?itemId=16104582870&vendorItemId=83301837682
탐사,"탐사수 무라벨, 330ml, 60개",,"12,890원",로켓배송,없음,개당 용량 × 총 수량: 330ml × 60개,"소비기한(또는 유통기한): 2024-07-22 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 11696964056",https://www.coupang.com/vp/products/5625704601?itemId=11696964056&vendorItemId=78971270753
동원,"동원샘물 무라벨 2l X 6병 (오늘출발+무료배송) 생수 물 2l, 2L, 6개",,"3,980원",주식회사쇼우몰,없음,개당 용량 × 총 수량: 2L × 6개,"라벨 유무: 무라벨, 수원지: 상세 설명 참조, 용기 타입: 플라스틱병, 쿠팡상품번호: 7869554035 - 21494763403",https://www.coupang.com/vp/products/7869554035?itemId=21494763403&vendorItemId=88446385812
,"에브리데이 산수, 1L, 60개",,"22,180원",로켓배송,9,개당 용량 × 총 수량: 1L × 60개,"소비기한(또는 유통기한): 2024-08-29 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 7691729906 - 14910847328",https://www.coupang.com/vp/products/7691729906?itemId=14910847328&vendorItemId=86471109291
스파클,"스파클 무라벨 생수, 2L, 24개",,"14,900원",스파클주식회사,2,개당 용량 × 총 수량: 2L × 24개,"용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 라벨 유무: 라벨없음, 쿠팡상품번호: 1653706 - 16212301798",https://www.coupang.com/vp/products/1653706?itemId=16212301798&vendorItemId=70286435633
,"몽베스트 생수, 330ml, 40개",,"10,350원",로켓배송,48,개당 용량 × 총 수량: 330ml × 40개,"소비기한(또는 유통기한): 2025-03-01 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 비건 여부: 아니오, 쿠팡상품번호: 4683535861 - 128126647",https://www.coupang.com/vp/products/4683535861?itemId=128126647&vendorItemId=3265196496
,"제주 삼다수, 500ml, 40개",,"19,200원",로켓배송,97,개당 용량 × 총 수량: 500ml × 40개,"소비기한(또는 유통기한): 2025-03-26 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 설탕 함량: 무설탕, 쿠팡상품번호: 5585425593 - 19982637571",https://www.coupang.com/vp/products/5585425593?itemId=19982637571&vendorItemId=86469813544
,"제주삼다수 그린, 330ml, 80개",,"34,400원",로켓배송,39,개당 용량 × 총 수량: 330ml × 80개,"소비기한(또는 유통기한): 2025-03-06 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 라벨없음, 수원지: 국내산, 대용량상품: Y, 쿠팡상품번호: 7666070794 - 14096771867",https://www.coupang.com/vp/products/7666070794?itemId=14096771867&vendorItemId=86469906901
,"아이시스 무라벨 ECO 생수, 2L, 24개",,"17,290원",로켓배송,4,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2024-08-05 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 가정용/업소용: 가정용, 쿠팡상품번호: 7841914137 - 21350776183",https://www.coupang.com/vp/products/7841914137?itemId=21350776183&vendorItemId=88408440138
탐사,"탐사수 무라벨, 330ml, 200개",,"38,760원",로켓배송,없음,개당 용량 × 총 수량: 330ml × 200개,"소비기한(또는 유통기한): 2024-07-22 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 19013169904",https://www.coupang.com/vp/products/5625704601?itemId=19013169904&vendorItemId=86137790270
,"동원샘물 생수 2L x24개 미네랄워터 대용량생수, 2L, 24개",,"14,770원",주식회사크린피플,없음,개당 용량 × 총 수량: 2L × 24개,"용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 7856464110 - 21322873306",https://www.coupang.com/vp/products/7856464110?itemId=21322873306&vendorItemId=75423856562
,"강원 평창수, 2L, 24개",,"15,520원",로켓배송,27,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2025-02-10 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 대용량상품: Y, 쿠팡상품번호: 6346591823 - 13337405297",https://www.coupang.com/vp/products/6346591823?itemId=13337405297&vendorItemId=86470202014
동원샘물,"동원샘물 무라벨 생수, 500ml, 80개",,"18,350원",로켓배송,23,개당 용량 × 총 수량: 500ml × 80개,"소비기한(또는 유통기한): 2024-10-15 이거나 그 이후인 상품, 수원지: 국내산, 라벨 유무: 무라벨, 용기 타입: 플라스틱병, 가정용/업소용: 상세 설명 참조, 쿠팡상품번호: 6485147801 - 18421340090",https://www.coupang.com/vp/products/6485147801?itemId=18421340090&vendorItemId=86493937947
,"휘오 다이아몬드 EC 네추럴 미네랄 워터, 300ml, 40개",,"11,460원",동은상사,20,개당 용량 × 총 수량: 300ml × 40개,"용기 타입: 플라스틱병, 수원지: 국내산, 설탕 함량: 무설탕, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 2213229154 - 18454923143",https://www.coupang.com/vp/products/2213229154?itemId=18454923143&vendorItemId=79449308055
탐사,"탐사수, 500ml, 200개",,"36,990원",로켓배송,없음,개당 용량 × 총 수량: 500ml × 200개,"소비기한(또는 유통기한): 2024-08-11 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 라벨 유무: 유라벨, 쿠팡상품번호: 27613130 - 19013169564",https://www.coupang.com/vp/products/27613130?itemId=19013169564&vendorItemId=86137790079
동아오츠카,"동아오츠카 마신다 생수, 2L, 24개","14,800원","13,990원",동아몰,2,개당 용량 × 총 수량: 2L × 24개,"용기 타입: 플라스틱병, 수원지: 국내산, 설탕 함량: 무설탕, 대용량상품: Y, 라벨 유무: 유라벨, 쿠팡상품번호: 6191544952 - 21203240945",https://www.coupang.com/vp/products/6191544952?itemId=21203240945&vendorItemId=88264497995
,"아이시스 8.0, 2L, 36개",,"27,330원",로켓배송,6,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2024-08-08 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 비건 여부: undefined, 쿠팡상품번호: 6948139199 - 20004606715",https://www.coupang.com/vp/products/6948139199?itemId=20004606715&vendorItemId=86949016932
,"풀무원 퓨어 생수, 2L, 24개",,"13,100원",로켓배송,없음,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2024-12-24 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 대용량상품: Y, 쿠팡상품번호: 8010806804 - 22349167390",https://www.coupang.com/vp/products/8010806804?itemId=22349167390&vendorItemId=86494114879
,"강원 평창수 무라벨, 2L, 18개",,"11,880원",로켓배송,9,개당 용량 × 총 수량: 2L × 18개,"소비기한(또는 유통기한): 2025-02-18 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 음료수 종류: 생수, 쿠팡상품번호: 5269360716 - 7505540767",https://www.coupang.com/vp/products/5269360716?itemId=7505540767&vendorItemId=86495568125
,"몽베스트 먹는샘물, 330ml, 60개",,"15,520원",로켓배송,22,개당 용량 × 총 수량: 330ml × 60개,"소비기한(또는 유통기한): 2025-03-01 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 설탕 함량: 무설탕, 쿠팡상품번호: 4683535861 - 19116128694",https://www.coupang.com/vp/products/4683535861?itemId=19116128694&vendorItemId=86433745541
,"강원 평창수 무라벨, 2L, 12개",,"7,920원",로켓배송,20,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2025-02-18 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 음료수 종류: 생수, 쿠팡상품번호: 5269360716 - 7505540780",https://www.coupang.com/vp/products/5269360716?itemId=7505540780&vendorItemId=86495568251
탐사,"탐사수 무라벨, 2L, 30개",,"15,290원",로켓배송,없음,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2024-08-09 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 13430253618",https://www.coupang.com/vp/products/5625704601?itemId=13430253618&vendorItemId=80771756696
,"백산수 생수, 1L, 48개",,"46,900원",OK테크,14,개당 용량 × 총 수량: 1L × 48개,"용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 아시아, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 4876313878 - 11837239827",https://www.coupang.com/vp/products/4876313878?itemId=11837239827&vendorItemId=86714105075
,"아이시스 무라벨 ECO 생수, 2L, 30개",,"21,610원",로켓배송,13,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2024-08-05 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 쿠팡상품번호: 7841914137 - 21350776153",https://www.coupang.com/vp/products/7841914137?itemId=21350776153&vendorItemId=88408440123
해태htb,"강원 평창수, 2L, 36개",,"23,280원",로켓배송,15,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2025-02-10 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 비건 여부: 비건, 쿠팡상품번호: 6346591823 - 2277280038",https://www.coupang.com/vp/products/6346591823?itemId=2277280038&vendorItemId=87017279374
,"풀무원샘물 무라벨 생수, 2L, 18개",,"10,690원",로켓배송,2,개당 용량 × 총 수량: 2L × 18개,"소비기한(또는 유통기한): 2025-01-20 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 6239512369 - 12586277097",https://www.coupang.com/vp/products/6239512369?itemId=12586277097&vendorItemId=86494123951
,"백산수 생수, 1L, 12개",,"8,030원",주식회사 바이바이,24,개당 용량 × 총 수량: 1L × 12개,"용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 아시아, 비건 여부: 비건, 설탕 함량: 무설탕, 쿠팡상품번호: 4876313878 - 17929544865",https://www.coupang.com/vp/products/4876313878?itemId=17929544865&vendorItemId=86952827480
,"강원 평창수 무라벨, 500ml, 80개",,"17,280원",로켓배송,3,개당 용량 × 총 수량: 500ml × 80개,"소비기한(또는 유통기한): 2024-11-10 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 음료수 종류: 생수, 쿠팡상품번호: 5269360716 - 20806566646",https://www.coupang.com/vp/products/5269360716?itemId=20806566646&vendorItemId=87875614604
롯데칠성음료,"아이시스 8.0 생수 1L x 6개 롯데칠성, 1L, 6개",,"5,800원",(주)대일유통,없음,개당 용량 × 총 수량: 1L × 6개,"수원지: 국내산, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 쿠팡상품번호: 6835195476 - 16237436376",https://www.coupang.com/vp/products/6835195476?itemId=16237436376&vendorItemId=88483043001
,"아이시스8.0 생수 1L 18개 물 사무실 가정배달, 1L, 18개",,"12,400원",제이에이치엠(JHM),없음,개당 용량 × 총 수량: 1L × 18개,"수원지: 국내산, 쿠팡상품번호: 7024998737 - 20880408879",https://www.coupang.com/vp/products/7024998737?itemId=20880408879&vendorItemId=87947613204
,"아이시스 8.0 무라벨 ECO 생수, 300ml, 40개",,"11,040원",로켓배송,16,개당 용량 × 총 수량: 300ml × 40개,"소비기한(또는 유통기한): 2024-10-14 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 음료수 종류: 생수, 쿠팡상품번호: 7865650251 - 14746291666",https://www.coupang.com/vp/products/7865650251?itemId=14746291666&vendorItemId=86467813948
스파클,"스파클 생수 무라벨, 2L, 6개",,"4,910원",스파클주식회사,없음,개당 용량 × 총 수량: 2L × 6개,"수원지: 국내산, 쿠팡상품번호: 6830320694 - 19678857682",https://www.coupang.com/vp/products/6830320694?itemId=19678857682&vendorItemId=83406358794
,"백산수 무라벨 생수, 330ml, 80개",,"27,560원",로켓배송,5,개당 용량 × 총 수량: 330ml × 80개,"소비기한(또는 유통기한): 2025-04-04 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 아시아, 음료수 종류: 생수, 쿠팡상품번호: 6393352093 - 18689442165",https://www.coupang.com/vp/products/6393352093?itemId=18689442165&vendorItemId=86494115917
,"제주 삼다수, 500ml, 120개",,"57,600원",로켓배송,16,개당 용량 × 총 수량: 500ml × 120개,"소비기한(또는 유통기한): 2025-03-26 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 비건 여부: 1개, 쿠팡상품번호: 5585425593 - 21278624006",https://www.coupang.com/vp/products/5585425593?itemId=21278624006&vendorItemId=87356923652
,"아이시스 무라벨 ECO 생수, 2L, 18개",,"12,970원",로켓배송,4,개당 용량 × 총 수량: 2L × 18개,"소비기한(또는 유통기한): 2024-08-05 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 쿠팡상품번호: 7841914137 - 21350775965",https://www.coupang.com/vp/products/7841914137?itemId=21350775965&vendorItemId=88408439847
,"커클랜드 코스트코 먹는샘물2L 생수 풀무원, 2L, 24개",,"14,800원",주식회사 제이와이제이아이앤씨,없음,개당 용량 × 총 수량: 2L × 24개,"수원지: 국내산, 가정용/업소용: 가정용, 쿠팡상품번호: 3560460 - 22422134713",https://www.coupang.com/vp/products/3560460?itemId=22422134713&vendorItemId=89465286712
,"백산수 무라벨 생수, 330ml, 100개",,"34,450원",로켓배송,4,개당 용량 × 총 수량: 330ml × 100개,"소비기한(또는 유통기한): 2025-04-04 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 아시아, 음료수 종류: 생수, 쿠팡상품번호: 6393352093 - 19747131789",https://www.coupang.com/vp/products/6393352093?itemId=19747131789&vendorItemId=86494109361
스파클,"스파클 생수 무라벨, 330ml, 60개",,"13,800원",스파클주식회사,없음,개당 용량 × 총 수량: 330ml × 60개,"수원지: 국내산, 쿠팡상품번호: 6830320694 - 16274395539",https://www.coupang.com/vp/products/6830320694?itemId=16274395539&vendorItemId=83406358927
,"휘오 다이아몬드 EC 네추럴 미네랄 워터, 500ml, 20개",,"7,590원",주식회사 부산종합유통,29,개당 용량 × 총 수량: 500ml × 20개,"용기 타입: 플라스틱병, 수원지: 국내산, 설탕 함량: 무설탕, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 2213229154 - 17266051408",https://www.coupang.com/vp/products/2213229154?itemId=17266051408&vendorItemId=72825134565
,"몽베스트 생수, 500ml, 60개",,"16,870원",로켓배송,21,개당 용량 × 총 수량: 500ml × 60개,"소비기한(또는 유통기한): 2025-02-28 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 비건 여부: 1개, 쿠팡상품번호: 4683535861 - 3880660103",https://www.coupang.com/vp/products/4683535861?itemId=3880660103&vendorItemId=85192860319
,"제주삼다수 그린, 500ml, 40개",,"19,200원",로켓배송,85,개당 용량 × 총 수량: 500ml × 40개,"소비기한(또는 유통기한): 2025-03-12 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 비건 여부: 비건, 쿠팡상품번호: 7666070794 - 14842822781",https://www.coupang.com/vp/products/7666070794?itemId=14842822781&vendorItemId=86469902027
탐사,"탐사수 무라벨, 1L, 18개",,"7,990원",로켓배송,없음,개당 용량 × 총 수량: 1L × 18개,"소비기한(또는 유통기한): 2024-11-08 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 13374757484",https://www.coupang.com/vp/products/5625704601?itemId=13374757484&vendorItemId=80629681700
,"동원 샘물 무라벨 2L x 24병 생수 물 2리터, 2L, 24개",,"14,800원",㈜동원디어푸드 ( 동원몰 ),4,단일상품 × 개당 용량 × 총 수량: 2L × 24개,"수원지: 상세 설명 참조, 식품 프리미엄: 상세 설명 참조, 열량: 상세 설명 참조, 가정용/업소용: 상세 설명 참조, 유기농/친환경 등: 상세 설명 참조, 쿠팡상품번호: 7153229496 - 17988036631",https://www.coupang.com/vp/products/7153229496?itemId=17988036631&vendorItemId=86013951233
,"아이시스 8.0 무라벨 ECO 생수, 2L, 30개",,"23,750원",로켓배송,2,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2024-09-18 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 쿠팡상품번호: 7865650251 - 21474368223",https://www.coupang.com/vp/products/7865650251?itemId=21474368223&vendorItemId=86467813334
,"커클랜드 시그니춰 생수 2L, 2L, 24개",,"14,360원",주식회사 제이와이제이아이앤씨,없음,개당 용량 × 총 수량: 2L × 24개,"용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 쿠팡상품번호: 3560460 - 20271069030",https://www.coupang.com/vp/products/3560460?itemId=20271069030&vendorItemId=74639011473
,"에브리데이 산수, 1L, 48개",,"17,750원",로켓배송,8,개당 용량 × 총 수량: 1L × 48개,"소비기한(또는 유통기한): 2024-08-29 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 7691729906 - 18729357788",https://www.coupang.com/vp/products/7691729906?itemId=18729357788&vendorItemId=86471109209
롯데칠성음료,"롯데 하늘샘 무라벨 생수, 2L, 12개",,"6,450원",로켓배송,없음,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2024-10-17 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 음료수 종류: 생수, 라벨 유무: 무라벨, 가정용/업소용: 가정용, 쿠팡상품번호: 7900128179 - 21648386822",https://www.coupang.com/vp/products/7900128179?itemId=21648386822&vendorItemId=88699101690
,"에브리데이 산수, 1L, 36개",,"13,590원",로켓배송,8,개당 용량 × 총 수량: 1L × 36개,"소비기한(또는 유통기한): 2024-08-29 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 7691729906 - 10304583886",https://www.coupang.com/vp/products/7691729906?itemId=10304583886&vendorItemId=86471109240
가야산천년수,"천년수 무라벨 생수, 2L, 24개",,"12,980원",로켓배송,4,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2024-09-20 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 6203736108 - 12325672441",https://www.coupang.com/vp/products/6203736108?itemId=12325672441&vendorItemId=86493934793
동원,"동원샘물 무라벨 500ML (오늘출발+무료배송) 생수 물 500ML, 500ml, 20개",,"5,000원",주식회사쇼우몰,없음,개당 용량 × 총 수량: 500ml × 20개,"수량: 40개, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 쿠팡상품번호: 8057395908 - 22619991159",https://www.coupang.com/vp/products/8057395908?itemId=22619991159&vendorItemId=88253008805
,"농심 백산수, 330ml, 60개",,"19,720원",로켓배송,15,개당 용량 × 총 수량: 330ml × 60개,"소비기한(또는 유통기한): 2025-02-11 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 아시아, 비건 여부: 1개, 쿠팡상품번호: 4876313878 - 20272541686",https://www.coupang.com/vp/products/4876313878?itemId=20272541686&vendorItemId=86470201668
,"지리산 물하나, 2L, 12개",,"12,900원",스마토리,28,개당 용량 × 총 수량: 2L × 12개,"용기 타입: 플라스틱병, 수원지: 국내산, 음료수 종류: 생수, 라벨 유무: 유라벨, 가정용/업소용: 가정용, 쿠팡상품번호: 6641250902 - 14037862822",https://www.coupang.com/vp/products/6641250902?itemId=14037862822&vendorItemId=83396780395
,"백산수 무라벨 생수, 500ml, 20개",,"8,200원",주식회사 에스비,20,개당 용량 × 총 수량: 500ml × 20개,"용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 아시아, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 6393352093 - 16996296034",https://www.coupang.com/vp/products/6393352093?itemId=16996296034&vendorItemId=84029450191
,"백산수 무라벨 생수, 330ml, 60개",,"20,670원",로켓배송,3,개당 용량 × 총 수량: 330ml × 60개,"소비기한(또는 유통기한): 2025-04-04 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 아시아, 음료수 종류: 생수, 쿠팡상품번호: 6393352093 - 18004323984",https://www.coupang.com/vp/products/6393352093?itemId=18004323984&vendorItemId=86494114591
,"풀무원샘물 생수, 2L, 6개",,"4,900원",주식회사 아띠꼴로,4,개당 용량 × 총 수량: 2L × 6개,"수원지: 국내산, 쿠팡상품번호: 7844214152 - 16256622231",https://www.coupang.com/vp/products/7844214152?itemId=16256622231&vendorItemId=85295373528
,"농심 백산수, 2L, 6개",,"5,680원",주식회사 바이바이,29,개당 용량 × 총 수량: 2L × 6개,"용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 중국, 비건 여부: 1개, 설탕 함량: 무설탕, 쿠팡상품번호: 4876313878 - 6342574349",https://www.coupang.com/vp/products/4876313878?itemId=6342574349&vendorItemId=85272632550
,"아이시스 생수, 2L, 30개",,"20,560원",로켓배송,없음,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2024-09-16 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 쿠팡상품번호: 7229656613 - 19805079074",https://www.coupang.com/vp/products/7229656613?itemId=19805079074&vendorItemId=86493563451
,"자연드림 JUST기픈물 종이팩생수, 500ml, 15개",,"14,700원",로켓배송,없음,개당 용량 × 총 수량: 500ml × 15개,"용기 타입: 종이팩, 수원지: 국내산(강원도고성), 유기농/친환경 등: 인증 있음, 가정용/업소용: 가정용, 쿠팡상품번호: 5964673966 - 20376247232",https://www.coupang.com/vp/products/5964673966?itemId=20376247232&vendorItemId=88182541075
